time,open,high,low,close,tick_volume,spread,real_volume
2021-11-29 17:30:00,1786.26,1787.81,1785.13,1786.5,1168.0,23,0.0
2021-11-29 17:45:00,1786.51,1788.13,1786.12,1786.91,913.0,21,0.0
2021-11-29 18:00:00,1786.78,1787.84,1785.41,1785.91,1258.0,24,0.0
2021-11-29 18:15:00,1785.89,1787.11,1783.6,1784.53,1520.0,19,0.0
2021-11-29 18:30:00,1784.54,1785.23,1783.77,1784.32,915.0,20,0.0
2021-11-29 18:45:00,1784.28,1784.52,1782.48,1783.7,604.0,22,0.0
2021-11-29 19:00:00,1783.7,1785.6,1783.49,1784.42,1227.0,21,0.0
2021-11-29 19:15:00,1784.4,1784.4,1782.4,1783.4,942.0,22,0.0
2021-11-29 19:30:00,1783.4,1783.47,1782.37,1783.09,667.0,22,0.0
2021-11-29 19:45:00,1783.09,1784.58,1782.88,1784.06,644.0,31,0.0
2021-11-29 20:00:00,1784.06,1784.42,1782.97,1784.22,520.0,26,0.0
2021-11-29 20:15:00,1784.28,1784.32,1782.49,1783.56,783.0,29,0.0
2021-11-29 20:30:00,1783.51,1785.14,1783.51,1785.1,524.0,31,0.0
2021-11-29 20:45:00,1785.1,1785.1,1783.73,1783.87,664.0,31,0.0
2021-11-29 21:00:00,1783.86,1783.86,1782.38,1782.83,385.0,30,0.0
2021-11-29 21:15:00,1782.83,1783.33,1781.78,1782.69,378.0,25,0.0
2021-11-29 21:30:00,1782.71,1783.21,1781.67,1781.91,509.0,29,0.0
2021-11-29 21:45:00,1781.98,1783.58,1780.95,1782.42,626.0,31,0.0
2021-11-29 22:00:00,1782.45,1784.94,1781.9,1784.76,948.0,31,0.0
2021-11-29 22:15:00,1784.63,1784.86,1783.9,1784.26,596.0,30,0.0
2021-11-29 22:30:00,1784.28,1784.36,1783.12,1783.56,818.0,30,0.0
2021-11-29 22:45:00,1783.51,1784.0,1782.69,1783.58,1019.0,27,0.0
2021-11-29 23:00:00,1783.5,1783.85,1782.36,1783.13,601.0,33,0.0
2021-11-29 23:15:00,1783.21,1783.32,1782.96,1783.16,297.0,32,0.0
2021-11-29 23:30:00,1783.16,1785.53,1783.16,1785.48,590.0,34,0.0
2021-11-29 23:45:00,1785.46,1785.66,1784.78,1784.88,384.0,37,0.0
2021-11-30 01:00:00,1784.14,1785.56,1784.14,1785.39,310.0,34,0.0
2021-11-30 01:15:00,1785.39,1786.79,1784.19,1786.59,256.0,28,0.0
2021-11-30 01:30:00,1786.59,1787.69,1786.14,1787.31,373.0,41,0.0
2021-11-30 01:45:00,1787.3,1787.39,1786.63,1786.74,515.0,20,0.0
2021-11-30 02:00:00,1786.73,1787.81,1786.26,1786.39,671.0,30,0.0
2021-11-30 02:15:00,1786.51,1787.01,1785.66,1786.37,433.0,31,0.0
2021-11-30 02:30:00,1786.37,1786.55,1784.93,1785.06,549.0,32,0.0
2021-11-30 02:45:00,1785.06,1785.98,1784.57,1784.91,718.0,33,0.0
2021-11-30 03:00:00,1784.97,1785.9,1782.9,1783.83,762.0,28,0.0
2021-11-30 03:15:00,1783.86,1785.23,1783.61,1785.14,490.0,24,0.0
2021-11-30 03:30:00,1785.14,1787.5,1785.0,1787.43,539.0,29,0.0
2021-11-30 03:45:00,1787.47,1788.96,1787.44,1788.37,736.0,23,0.0
2021-11-30 04:00:00,1788.39,1788.97,1787.66,1788.0,763.0,30,0.0
2021-11-30 04:15:00,1788.0,1789.34,1787.88,1789.31,399.0,26,0.0
2021-11-30 04:30:00,1789.31,1790.29,1789.06,1789.48,1027.0,29,0.0
2021-11-30 04:45:00,1789.5,1789.5,1788.36,1788.47,516.0,31,0.0
2021-11-30 05:00:00,1788.48,1788.9,1787.92,1788.23,531.0,33,0.0
2021-11-30 05:15:00,1788.29,1788.91,1787.93,1788.72,603.0,29,0.0
2021-11-30 05:30:00,1788.69,1788.96,1788.51,1788.88,472.0,29,0.0
2021-11-30 05:45:00,1788.89,1789.02,1788.62,1788.82,440.0,28,0.0
2021-11-30 06:00:00,1788.81,1789.54,1788.19,1788.39,455.0,30,0.0
2021-11-30 06:15:00,1788.39,1789.42,1788.07,1788.99,444.0,31,0.0
2021-11-30 06:30:00,1789.03,1789.11,1788.36,1788.56,204.0,32,0.0
2021-11-30 06:45:00,1788.56,1788.76,1788.36,1788.46,291.0,32,0.0
2021-11-30 07:00:00,1788.5,1789.94,1787.82,1789.69,632.0,29,0.0
2021-11-30 07:15:00,1789.68,1791.52,1789.35,1791.31,1708.0,30,0.0
2021-11-30 07:30:00,1791.4,1793.74,1790.14,1793.23,1876.0,32,0.0
2021-11-30 07:45:00,1793.11,1795.84,1792.97,1795.77,1555.0,27,0.0
2021-11-30 08:00:00,1795.66,1795.75,1792.35,1792.76,1506.0,34,0.0
2021-11-30 08:15:00,1792.76,1793.38,1791.53,1793.29,991.0,26,0.0
2021-11-30 08:30:00,1793.21,1793.69,1791.19,1792.24,825.0,32,0.0
2021-11-30 08:45:00,1792.21,1794.93,1792.21,1793.09,969.0,27,0.0
2021-11-30 09:00:00,1793.19,1793.61,1790.99,1791.5,1249.0,34,0.0
2021-11-30 09:15:00,1791.5,1792.19,1789.83,1790.48,1177.0,33,0.0
2021-11-30 09:30:00,1790.54,1793.06,1790.41,1792.78,1113.0,26,0.0
2021-11-30 09:45:00,1792.81,1792.93,1790.79,1791.68,1073.0,31,0.0
