entry_step,exit_step,entry_date,exit_date,type,entry_price,exit_price,position_size,notional_size,pnl_usd,pnl_pct,fee,net_pnl
229,230,2002-04-15,2002-04-16,LONG,300.1,299.3,1209.1067483122438,6045.533741561219,-80.58025646866119,-6.66444518493845,1.209106748312244,-81.78936321697343
232,233,2002-04-18,2002-04-19,LONG,303.9,302.6,1200.9278119905464,6004.639059952732,-128.43091112106416,-10.694307337939739,1.2009278119905464,-129.6318389330547
237,239,2002-04-25,2002-04-29,LONG,307.8,311.5,1187.9646280972408,5939.8231404862045,357.00691390186626,30.051981806367678,1.187964628097241,355.818949273769
242,244,2002-05-02,2002-05-06,LONG,308.1,311.7,1223.5465230246177,6117.732615123088,357.4137847199433,29.21129503407956,1.2235465230246176,356.1902381969187
247,248,2002-05-09,2002-05-10,LONG,309.8,311.3,1259.1655468443096,6295.827734221548,152.4167463094306,12.104583602324078,1.2591655468443097,151.1575807625863
251,251,2002-05-15,2002-05-15,LONG,308.8,308.8,1274.2813049205683,6371.406524602842,0.0,0.0,1.2742813049205686,-1.2742813049205686
4,5,2002-05-22,2002-05-23,LONG,317.9,322.3,1274.1538767900763,6370.769383950382,440.8836943910333,34.602076124567745,1.2741538767900764,439.60954051424324
10,12,2002-05-30,2002-06-03,LONG,325.3,327.4,1318.1148308415004,6590.574154207502,212.72987586590116,16.138948662772563,1.3181148308415005,211.41176103505967
15,16,2002-06-06,2002-06-07,LONG,325.4,324.2,1339.2560069450064,6696.280034725032,-123.47166628257472,-9.219422249538942,1.3392560069450066,-124.81092228951972
20,21,2002-06-13,2002-06-14,LONG,318.4,319.5,1326.7749147160546,6633.874573580273,114.59268264664655,8.636934673367014,1.3267749147160548,113.2659077319305
22,23,2002-06-17,2002-06-18,LONG,317.1,319.8,1338.1015054892478,6690.507527446239,284.8371227389588,21.28666035950795,1.3381015054892478,283.49902123346953
34,35,2002-07-03,2002-07-04,LONG,311.4,311.0,1366.4514076125947,6832.257038062973,-43.88090583212964,-3.2113037893382885,1.3664514076125946,-45.247357239742236
36,37,2002-07-05,2002-07-08,LONG,311.7,313.1,1361.9266718886206,6809.6333594431035,152.92728109112252,11.228745588707365,1.3619266718886207,151.5653544192339
42,44,2002-07-15,2002-07-17,LONG,318.4,318.0,1377.083207330544,6885.416036652719,-43.250100732740755,-3.140703517587761,1.377083207330544,-44.6271839400713
45,46,2002-07-18,2002-07-19,LONG,317.7,324.2,1372.620488936537,6863.102444682685,702.0800423424214,51.14888259364181,1.372620488936537,700.7074218534849
47,48,2002-07-22,2002-07-23,LONG,323.4,313.3,1442.6912311218855,7213.456155609428,-1126.4054912129711,-78.0766852195421,1.4426912311218856,-1127.848182444093
49,51,2002-07-24,2002-07-26,LONG,311.5,304.0,1329.9064128774762,6649.532064387381,-800.5054652151744,-60.19261637239166,1.3299064128774762,-801.8353716280518
52,54,2002-07-29,2002-07-31,LONG,302.9,303.8,1249.7228757146709,6248.614378573355,92.83184121353966,7.428194123473377,1.249722875714671,91.582118337825
57,58,2002-08-05,2002-08-06,LONG,308.4,306.6,1258.8810875484533,6294.405437742266,-183.6888746422794,-14.591439688715585,1.2588810875484533,-184.94775572982783
60,61,2002-08-08,2002-08-09,LONG,310.9,314.8,1240.3863119754706,6201.931559877353,388.99216924287373,31.360566098424208,1.2403863119754706,387.75178293089823
64,65,2002-08-14,2002-08-15,LONG,312.0,315.2,1279.1614902685606,6395.807451342803,327.9901257098862,25.64102564102555,1.2791614902685606,326.7109642196176
68,69,2002-08-20,2002-08-21,LONG,309.3,308.3,1311.8325866905222,6559.1629334526115,-106.03237849098952,-8.08276753960556,1.3118325866905223,-107.34421107768004
70,72,2002-08-22,2002-08-26,LONG,307.4,309.8,1301.0981655827543,6505.490827913772,253.95539991856336,19.51854261548499,1.3010981655827545,252.65430175298061
75,76,2002-08-29,2002-08-30,LONG,313.7,313.0,1326.3635957580523,6631.817978790261,-73.99223119466221,-5.578578259483492,1.3263635957580522,-75.31859479042026
79,81,2002-09-04,2002-09-06,LONG,315.0,320.5,1318.8317362790103,6594.158681395052,575.68051980433,43.65079365079366,1.3188317362790103,574.361688068051
