entry_step,exit_step,entry_date,exit_date,type,entry_price,exit_price,position_size,notional_size,pnl_usd,pnl_pct,fee,net_pnl
211,213,2002-03-20,2002-03-22,LONG,289.52697307234945,289.90751287514615,1617.4067021513356,8087.033510756678,53.14596606901751,3.285875222250984,1.6174067021513356,51.528559366866176
214,215,2002-03-25,2002-03-26,LONG,290.17808156797105,290.39042557564113,1625.1359860563657,8125.679930281829,29.730699026560345,1.8294283851720192,1.6251359860563659,28.105563040503977
216,217,2002-03-27,2002-03-28,LONG,290.7642443465763,291.14199072645886,1629.3518205124412,8146.759102562206,52.91931209912143,3.2478751017983325,1.6293518205124413,51.28996027860899
219,220,2002-04-01,2002-04-02,LONG,291.8596565485079,292.30291186286223,1637.0453145542324,8185.226572771162,62.15564734915442,3.796818988244037,1.6370453145542325,60.518602034600185
224,226,2002-04-08,2002-04-10,LONG,293.3655167965477,293.78260901392645,1646.1231048594225,8230.615524297113,58.50935919305458,3.5543732434307356,1.6461231048594227,56.86323608819516
227,228,2002-04-11,2002-04-12,LONG,294.0664035741763,294.30712513587844,1654.652590272652,8273.26295136326,33.86229698153991,2.0464898299866143,1.654652590272652,32.20764439126726
230,231,2002-04-16,2002-04-17,LONG,294.63723768529024,294.87264173987734,1659.483736931342,8297.41868465671,33.14662491950876,1.9974058306110498,1.659483736931342,31.487141182577417
232,234,2002-04-18,2002-04-22,LONG,295.1536338758472,295.62554469911277,1664.2068081087284,8321.034040543642,66.52105164568863,3.997162571476668,1.6642068081087285,64.8568448375799
235,236,2002-04-23,2002-04-24,LONG,295.88310142855534,296.1450919511072,1673.9353348343652,8369.676674171826,37.05476850265175,2.2136320162163425,1.6739353348343653,35.38083316781738
237,238,2002-04-25,2002-04-26,LONG,296.5078711178162,296.9745270536895,1679.2424598095379,8396.21229904769,66.07147212368739,3.934599898765144,1.679242459809538,64.39222966387784
240,241,2002-04-30,2002-05-01,LONG,297.77755979529513,298.1362156712902,1688.9012942591194,8444.506471295597,50.85460213809377,3.0111056407474934,1.6889012942591195,49.16570084383465
242,244,2002-05-02,2002-05-06,LONG,298.44635568791443,299.2736787090421,1696.2761493856947,8481.380746928473,117.55616058217677,6.930248982440133,1.6962761493856946,115.85988443279108
245,246,2002-05-07,2002-05-08,LONG,299.66358211975967,299.9386309062313,1713.6551320506132,8568.275660253066,39.322326153821365,2.2946464208797392,1.7136551320506133,37.60867102177075
248,250,2002-05-10,2002-05-14,LONG,300.5896709137857,301.1372023235898,1719.296432703879,8596.482163519395,78.29350862321424,4.553810915554841,1.719296432703879,76.57421219051035
1,3,2002-05-17,2002-05-21,LONG,301.94773609791207,302.8274055241933,1730.7825645324551,8653.912822662276,126.05795006408897,7.2832921157916575,1.7307825645324553,124.32716749955651
4,5,2002-05-22,2002-05-23,LONG,303.29656609080934,303.8880808320038,1749.431639657389,8747.158198286945,85.29725681592092,4.875712481833565,1.749431639657389,83.54782517626353
9,10,2002-05-29,2002-05-30,LONG,306.140234658539,306.7366154858915,1761.9638134338281,8809.81906716914,85.81046509558583,4.870160467617827,1.7619638134338282,84.048501282152
